"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","income_cat"
"5055",-118.34,34.02,44,1527,246,608,245,4.0357,187800,"<1H OCEAN",3
"5068",-118.3,33.99,43,1534,384,1231,329,2.5437,94500,"<1H OCEAN",2
"5070",-118.3,33.99,45,1701,452,1484,427,1.84,91400,"<1H OCEAN",2
"5072",-118.31,33.99,49,857,196,694,228,2.895,108000,"<1H OCEAN",2
"5074",-118.31,33.98,52,1607,331,900,295,3.5982,96600,"<1H OCEAN",3
"5075",-118.31,33.98,50,1985,454,1090,410,1.825,106600,"<1H OCEAN",2
"5076",-118.31,33.98,52,1975,379,1043,371,2.3977,112200,"<1H OCEAN",2
"5077",-118.32,33.98,49,1993,446,1052,394,2.2138,119800,"<1H OCEAN",2
"5087",-118.28,33.98,47,865,193,782,217,2.2411,93000,"<1H OCEAN",2
"5096",-118.3,33.97,44,1521,289,1074,285,2.0673,99800,"<1H OCEAN",2
"5104",-118.3,33.95,50,1843,326,892,314,3.1346,120000,"<1H OCEAN",3
"5118",-118.28,33.96,34,2074,562,1913,514,1.6156,102100,"<1H OCEAN",2
"5121",-118.3,33.96,47,2112,417,1161,368,3.9722,117400,"<1H OCEAN",3
"5123",-118.31,33.96,47,1586,322,1077,339,4.4861,140400,"<1H OCEAN",3
"5126",-118.27,33.98,30,1966,584,2028,535,1.625,101500,"<1H OCEAN",2
"5128",-118.27,33.99,41,656,162,730,170,1.8047,101800,"<1H OCEAN",2
"5134",-118.26,33.97,46,1295,351,1120,323,1.7121,98200,"<1H OCEAN",2
"5136",-118.26,33.97,46,1521,352,1100,334,1.55,100600,"<1H OCEAN",2
"5139",-118.28,33.97,40,2180,642,2464,631,1.5521,90100,"<1H OCEAN",2
"5144",-118.28,33.96,37,1812,500,1640,447,1.9348,99100,"<1H OCEAN",2
"5153",-118.26,33.95,38,1387,346,1240,355,1.6898,95100,"<1H OCEAN",2
"5160",-118.28,33.96,39,882,221,697,189,1.8472,99100,"<1H OCEAN",2
"5164",-118.29,33.96,39,1340,409,1463,367,1.5294,111400,"<1H OCEAN",2
"5165",-118.29,33.95,40,2808,695,2357,627,1.9655,102300,"<1H OCEAN",2
"5168",-118.29,33.94,34,1089,278,995,315,2.3352,107700,"<1H OCEAN",2
"5176",-118.27,33.95,34,1261,315,1027,303,2.2946,88800,"<1H OCEAN",2
"5180",-118.26,33.95,44,1771,378,1296,399,1.6389,96700,"<1H OCEAN",2
"5202",-118.28,33.94,9,456,130,438,114,0.8952,81300,"<1H OCEAN",1
"5206",-118.29,33.94,47,1782,338,1003,329,2.5398,105700,"<1H OCEAN",2
"5212",-118.28,33.93,43,269,74,295,79,2.2969,90600,"<1H OCEAN",2
"5214",-118.28,33.93,52,117,33,74,45,0.4999,90600,"<1H OCEAN",1
"5230",-118.24,33.94,34,796,180,673,144,2.0769,88300,"<1H OCEAN",2
"5231",-118.24,33.93,37,1027,258,824,248,1.5132,86300,"<1H OCEAN",2
"5247",-118.45,34.12,20,10722,1617,3731,1511,9.7449,500001,"<1H OCEAN",5
"5249",-118.43,34.08,46,778,90,238,93,15.0001,500001,"<1H OCEAN",5
"5250",-118.45,34.08,52,1500,176,384,145,7.1576,500001,"<1H OCEAN",5
"5257",-118.48,34.07,37,4042,549,1318,542,12.8665,500001,"<1H OCEAN",5
"5263",-118.52,34.05,45,1814,325,709,311,4.825,500001,"<1H OCEAN",4
"5265",-118.57,34.09,14,7970,1142,2926,1096,11.2866,500001,"<1H OCEAN",5
"5270",-118.54,34.06,21,3755,525,1493,526,11.4233,500001,"<1H OCEAN",5
"5275",-118.53,34.03,40,4350,763,1551,665,7.0318,500001,"<1H OCEAN",5
"5276",-118.5,34.05,36,4152,542,1461,550,15.0001,500001,"<1H OCEAN",5
"5282",-118.49,34.05,42,1918,216,632,224,15.0001,500001,"<1H OCEAN",5
"5283",-118.47,34.06,26,6577,1789,2937,1652,4.801,500001,"<1H OCEAN",4
"5285",-118.47,34.05,25,2689,719,1229,663,3.5909,500001,"<1H OCEAN",3
"5292",-118.42,34.08,46,1399,148,410,152,15.0001,500001,"<1H OCEAN",5
"5293",-118.43,34.07,34,3203,483,949,439,10.3467,500001,"<1H OCEAN",5
"5294",-118.43,34.07,38,3251,656,1251,593,7.7382,500001,"<1H OCEAN",5
"5295",-118.44,34.07,26,3535,748,1322,666,7.1674,500001,"<1H OCEAN",5
"5301",-118.45,34.07,19,4845,1609,3751,1539,1.583,350000,"<1H OCEAN",2
"5304",-118.46,34.07,43,2511,456,808,407,6.7703,500001,"<1H OCEAN",5
"5311",-118.43,34.06,11,3184,641,911,463,7.2675,500001,"<1H OCEAN",5
"5313",-118.43,34.05,22,4251,1073,1581,881,5.2555,500001,"<1H OCEAN",4
"5316",-118.43,34.06,31,1317,284,523,274,7.4219,500001,"<1H OCEAN",5
"5323",-118.43,34.05,24,3832,949,1613,893,3.9673,477300,"<1H OCEAN",3
"5326",-118.43,34.04,52,2425,435,962,412,5.8587,494700,"<1H OCEAN",4
"5327",-118.45,34.05,28,801,399,936,406,2.1875,181300,"<1H OCEAN",2
"5329",-118.45,34.04,23,3771,1321,2031,1241,2.7679,277500,"<1H OCEAN",2
"5339",-118.45,34.04,21,2819,648,1435,593,3.9489,360200,"<1H OCEAN",3
"5349",-118.42,34.05,33,2921,652,1124,608,5.0151,500001,"<1H OCEAN",4
"5353",-118.4,34.04,42,1298,174,420,190,12.8483,500001,"<1H OCEAN",5
"5360",-118.39,34.05,25,2814,701,1139,658,4.0153,460000,"<1H OCEAN",3
"5365",-118.42,34.04,52,1358,272,574,267,5.6454,500001,"<1H OCEAN",4
"5367",-118.39,34.04,44,1873,286,635,283,5.5951,461300,"<1H OCEAN",4
"5368",-118.4,34.04,43,3863,537,1398,511,8.5938,500001,"<1H OCEAN",5
"5373",-118.38,34.04,45,767,130,254,118,6.2895,340400,"<1H OCEAN",5
"5379",-118.39,34.03,28,1722,536,1161,481,3.2228,232500,"<1H OCEAN",3
"5380",-118.39,34.03,25,3442,1050,1890,914,3.0574,319400,"<1H OCEAN",3
"5381",-118.4,34.03,24,1101,318,491,287,3.2222,319400,"<1H OCEAN",3
"5383",-118.41,34.03,26,4376,1394,2435,1250,2.8418,327300,"<1H OCEAN",2
"5395",-118.38,34.03,43,912,255,705,246,2.6402,185700,"<1H OCEAN",2
"5400",-118.43,34.03,39,1733,429,855,387,3.2308,340800,"<1H OCEAN",3
"5401",-118.43,34.03,26,1706,516,894,435,3.1875,372700,"<1H OCEAN",3
"5403",-118.44,34.03,25,2059,659,1349,588,3.2396,352400,"<1H OCEAN",3
"5405",-118.44,34.03,37,1193,205,488,224,3.625,357600,"<1H OCEAN",3
"5422",-118.43,34.02,41,2403,516,1001,514,4.3906,500001,"<1H OCEAN",3
"5425",-118.42,34.02,21,3244,815,1423,781,3.6488,340800,"<1H OCEAN",3
"5429",-118.41,34.02,34,1430,357,805,362,3.3462,307000,"<1H OCEAN",3
"5430",-118.42,34.02,22,3292,1134,1655,898,3.1746,348800,"<1H OCEAN",3
"5431",-118.42,34.02,26,2664,842,1745,789,3.4269,301900,"<1H OCEAN",3
"5435",-118.42,34.01,33,2731,535,1280,510,4.7083,420100,"<1H OCEAN",4
"5436",-118.42,34.01,32,1300,356,703,311,3.5667,394000,"<1H OCEAN",3
"5444",-118.44,34,40,1287,346,806,311,3.875,321300,"<1H OCEAN",3
"5445",-118.43,34,30,2148,597,1341,559,3.3995,324000,"<1H OCEAN",3
"5446",-118.44,34,22,5822,1707,3335,1585,3.1579,243100,"<1H OCEAN",3
"5452",-118.46,34.01,43,513,98,266,103,5.6428,343100,"<1H OCEAN",4
"5455",-118.46,34,36,1392,260,679,247,4.7344,346900,"<1H OCEAN",4
"5456",-118.46,34.01,39,711,148,347,153,4.2813,297200,"<1H OCEAN",3
"5458",-118.47,34,41,2331,636,1839,537,2.288,263500,"<1H OCEAN",2
"5460",-118.47,33.99,34,1875,501,1491,526,2.8417,321400,"<1H OCEAN",2
"5464",-118.47,33.99,33,854,235,645,198,2.1471,239300,"<1H OCEAN",2
"5471",-118.47,33.99,24,1438,454,665,416,2.975,500001,"<1H OCEAN",2
"5480",-118.45,34,48,1923,408,1142,433,4.575,326700,"<1H OCEAN",4
"5486",-118.46,33.99,35,1214,300,478,265,4.0156,500001,"<1H OCEAN",3
"5489",-118.45,33.99,45,1132,269,654,264,4.5673,343100,"<1H OCEAN",4
"5490",-118.45,33.99,26,1919,405,953,371,6.0672,420800,"<1H OCEAN",5
"5493",-118.46,33.97,18,9430,2473,3408,2003,6.1726,500001,"<1H OCEAN",5
"5505",-118.43,33.99,43,2483,548,1212,493,4.0189,302900,"<1H OCEAN",3
"5514",-118.41,33.99,36,1089,234,632,215,3.6538,276100,"<1H OCEAN",3
"5521",-118.39,33.97,46,2198,352,839,335,6.5778,350800,"<1H OCEAN",5
"5533",-118.42,33.97,44,1462,240,562,237,4.9375,365200,"<1H OCEAN",4
"5536",-118.43,33.96,13,1860,345,800,355,5.8864,500001,"<1H OCEAN",4
"5542",-118.4,33.97,35,913,161,451,172,5.6169,411200,"<1H OCEAN",4
"5547",-118.4,33.97,44,2825,453,1221,461,5.9544,377200,"<1H OCEAN",4
"5551",-118.38,33.96,44,2395,458,1287,450,4.6923,299000,"<1H OCEAN",4
"5552",-118.38,33.95,35,3259,967,2003,920,3.2708,4e+05,"<1H OCEAN",3
"5554",-118.37,33.95,5,6955,2062,3591,1566,3.111,247600,"<1H OCEAN",3
"5560",-118.45,33.96,36,2723,547,1090,519,6.3267,500001,"<1H OCEAN",5
"5561",-118.44,33.95,37,2076,332,771,327,6.2551,500001,"<1H OCEAN",5
"5562",-118.28,33.92,37,1761,409,1309,357,2.1875,175900,"<1H OCEAN",2
"5569",-118.29,33.88,32,2307,493,1754,528,4.317,232800,"<1H OCEAN",3
"5574",-118.3,33.86,35,1511,274,853,308,4.9792,251300,"<1H OCEAN",4
"5575",-118.29,33.85,10,1391,420,1378,377,1.9049,222200,"<1H OCEAN",2
"5576",-118.31,33.84,5,3559,869,2965,794,2.6491,216700,"<1H OCEAN",2
"5577",-118.3,33.84,36,1428,268,825,250,4.7222,239600,"<1H OCEAN",4
"5578",-118.3,33.84,37,1241,226,621,255,4.9196,232400,"<1H OCEAN",4
"5580",-118.3,33.83,31,2693,661,1598,618,3.1851,240200,"<1H OCEAN",3
"5582",-118.31,33.83,27,2880,802,2083,727,2.9619,223400,"<1H OCEAN",2
"5586",-118.3,33.81,17,5544,1068,3008,1038,5.322,282700,"<1H OCEAN",4
"5599",-118.27,33.8,38,1446,327,980,319,3.35,177700,"<1H OCEAN",3
"5610",-118.27,33.79,31,1535,369,1291,340,2.9375,174000,"<1H OCEAN",2
"5615",-118.25,33.79,38,1730,460,1724,424,2.7308,150400,"NEAR OCEAN",2
"5621",-118.25,33.78,32,296,139,511,133,1.4444,182100,"NEAR OCEAN",1
"5624",-118.26,33.77,36,886,253,809,219,2.4545,164200,"NEAR OCEAN",2
"5628",-118.27,33.77,39,1731,485,2115,478,1.5369,141300,"NEAR OCEAN",2
"5632",-118.28,33.77,47,307,69,374,65,2.9063,146900,"<1H OCEAN",2
"5635",-118.28,33.74,40,1751,512,1939,503,1.5394,2e+05,"NEAR OCEAN",2
"5645",-118.29,33.75,27,1650,443,1359,386,2.5795,192400,"NEAR OCEAN",2
"5648",-118.29,33.74,29,1503,411,1368,390,2.1473,195300,"NEAR OCEAN",2
"5650",-118.29,33.74,41,1382,361,905,344,2.75,238300,"NEAR OCEAN",2
"5651",-118.29,33.74,30,2074,533,1311,531,2.0329,225800,"NEAR OCEAN",2
"5656",-118.3,33.74,23,3075,860,1584,806,2.9386,260500,"NEAR OCEAN",2
"5657",-118.31,33.73,36,1725,295,799,306,5.0874,368500,"NEAR OCEAN",4
"5658",-118.31,33.73,52,1665,280,656,282,5.249,351900,"NEAR OCEAN",4
"5661",-118.31,33.73,52,2025,361,957,363,4.2059,350000,"NEAR OCEAN",3
"5663",-118.28,33.73,39,2602,802,2178,737,2.0469,234500,"NEAR OCEAN",2
"5664",-118.28,33.73,52,2085,588,1767,516,2.1935,243200,"NEAR OCEAN",2
"5665",-118.28,33.73,45,2137,559,1550,529,1.9167,227200,"NEAR OCEAN",2
"5668",-118.3,33.72,28,2647,658,1459,595,3.4474,253400,"NEAR OCEAN",3
"5670",-118.3,33.73,40,2582,606,1304,588,3.5694,276400,"NEAR OCEAN",3
"5673",-118.33,33.69,41,2168,357,1171,374,4.7216,311900,"NEAR OCEAN",4
"5675",-118.32,33.73,25,1099,168,407,159,7.6886,500001,"NEAR OCEAN",5
"5684",-118.29,33.72,21,1568,452,801,422,3.5109,225000,"NEAR OCEAN",3
"5690",-118.23,34.22,36,2288,439,1079,434,4.5486,361000,"<1H OCEAN",4
"5697",-118.26,34.24,35,1535,283,816,287,6.1873,312100,"<1H OCEAN",5
"5698",-118.26,34.24,35,1666,280,788,273,6.6277,344400,"<1H OCEAN",5
"5699",-118.26,34.24,35,2485,418,1226,406,5.7083,329500,"<1H OCEAN",4
"5703",-118.25,34.23,37,1954,368,967,370,5.0862,261300,"<1H OCEAN",4
"5707",-118.22,34.21,29,2174,418,1030,395,3.5707,341700,"<1H OCEAN",3
"5710",-118.23,34.21,32,1464,406,693,380,2.5463,2e+05,"<1H OCEAN",2
"5711",-118.23,34.21,38,1399,390,859,386,3.4148,234800,"<1H OCEAN",3
"5713",-118.24,34.22,34,1722,406,926,371,4.1523,252000,"<1H OCEAN",3
"5727",-118.22,34.19,31,4704,920,1895,886,4.9297,4e+05,"<1H OCEAN",4
"5734",-118.2,34.16,31,5550,881,2465,862,6.8317,446100,"<1H OCEAN",5
"5736",-118.23,34.15,26,1649,522,1332,483,3.1004,257100,"<1H OCEAN",3
"5737",-118.23,34.15,40,2124,370,998,372,5.3369,370400,"<1H OCEAN",4
"5738",-118.24,34.16,40,2549,591,1156,546,3.3333,374300,"<1H OCEAN",3
"5744",-118.26,34.17,20,5949,1417,2593,1337,3.8576,318600,"<1H OCEAN",3
"5746",-118.26,34.16,19,2919,857,1866,811,3.1733,206300,"<1H OCEAN",3
"5749",-118.27,34.16,15,5036,1299,3164,1175,2.9148,238700,"<1H OCEAN",2
"5750",-118.27,34.16,45,1865,360,973,349,3.6587,321200,"<1H OCEAN",3
"5752",-118.27,34.17,52,2010,NA,908,326,6.9135,374000,"<1H OCEAN",5
"5753",-118.27,34.17,52,2287,295,829,296,7.8383,500001,"<1H OCEAN",5
"5757",-118.29,34.18,52,1602,265,667,251,5.049,323500,"<1H OCEAN",4
"5763",-118.29,34.16,31,1262,338,1019,332,3.7083,241900,"<1H OCEAN",3
"5766",-118.3,34.17,17,4041,1169,3309,1117,2.6016,222400,"<1H OCEAN",2
"5774",-118.27,34.15,14,1744,536,1494,531,3.2171,230800,"<1H OCEAN",3
"5780",-118.26,34.15,6,3340,945,2315,846,2.8884,252300,"<1H OCEAN",2
"5783",-118.24,34.15,20,2734,658,1562,607,3.3906,284100,"<1H OCEAN",3
"5784",-118.24,34.15,45,1235,271,499,263,3.1435,282600,"<1H OCEAN",3
"5790",-118.25,34.15,32,1377,444,768,422,2.2621,187500,"<1H OCEAN",2
"5796",-118.23,34.14,25,2864,844,1745,803,2.9167,224300,"<1H OCEAN",2
"5797",-118.24,34.14,28,1843,554,1402,512,2.462,254000,"<1H OCEAN",2
"5805",-118.25,34.15,13,1107,479,616,443,0.8185,187500,"<1H OCEAN",1
"5810",-118.27,34.15,7,2837,776,2287,736,3.008,229000,"<1H OCEAN",3
"5811",-118.26,34.13,25,3208,1111,2843,1005,2.6673,218100,"<1H OCEAN",2
"5812",-118.26,34.13,37,1383,470,1185,451,2.5,207100,"<1H OCEAN",2
"5814",-118.26,34.14,23,1336,396,1255,359,2.5388,205000,"<1H OCEAN",2
"5817",-118.25,34.13,22,2340,773,2226,754,2.5417,217500,"<1H OCEAN",2
"5826",-118.3,34.19,14,3615,913,1924,852,3.5083,280900,"<1H OCEAN",3
"5840",-118.32,34.2,29,2209,444,952,403,4.375,341200,"<1H OCEAN",3
"5843",-118.31,34.19,42,724,149,420,150,3.0625,361700,"<1H OCEAN",3
"5847",-118.3,34.17,37,350,115,342,111,3.0687,2e+05,"<1H OCEAN",3
"5852",-118.32,34.18,44,1594,389,832,340,3.4,212100,"<1H OCEAN",3
"5854",-118.32,34.17,47,2589,465,1284,485,5.1008,247100,"<1H OCEAN",4
"5865",-118.34,34.18,45,3046,633,1448,599,3.24,226900,"<1H OCEAN",3
"5872",-118.35,34.17,47,858,170,365,171,2.0385,225000,"<1H OCEAN",2
"5876",-118.34,34.18,45,3566,701,1601,653,3.8668,232000,"<1H OCEAN",3
"5890",-118.34,34.15,40,3068,756,1190,695,3.5637,497400,"<1H OCEAN",3
"5896",-118.32,34.17,40,1868,356,799,403,2.9306,279300,"<1H OCEAN",2
"5897",-118.33,34.16,23,1359,428,770,380,3.4016,234600,"<1H OCEAN",3
"5900",-118.31,34.16,37,2144,446,860,435,3.9464,315000,"<1H OCEAN",3
"5905",-118.43,34.29,39,1769,410,1499,390,3.1212,153500,"<1H OCEAN",3
"5907",-118.43,34.3,28,271,61,246,62,1.7062,164600,"<1H OCEAN",2
"5911",-118.43,34.29,50,1181,265,1196,269,3.2095,167000,"<1H OCEAN",3
"5912",-118.43,34.28,27,862,280,1243,267,2.3724,154200,"<1H OCEAN",2
"5918",-118.44,34.28,37,944,244,1107,235,1.9688,144100,"<1H OCEAN",2
"5921",-118.45,34.28,36,2602,638,2780,620,2.7155,149800,"<1H OCEAN",2
"5927",-117.8,34.11,25,5039,821,2654,802,4.7969,211700,"INLAND",4
"5931",-117.79,34.11,18,3814,721,1881,692,4.4722,215600,"INLAND",3
"5938",-117.9,34.15,21,2056,461,1332,429,3.3942,212800,"INLAND",3
"5945",-117.88,34.13,33,3713,718,2106,720,4.0023,185500,"<1H OCEAN",3
"5950",-117.86,34.14,36,3097,667,1484,634,3.1905,235300,"INLAND",3
"5952",-117.85,34.13,31,1959,318,1021,303,4.3145,233000,"INLAND",3
"5956",-117.86,34.13,29,630,145,378,148,3.4107,170800,"INLAND",3
"5958",-117.87,34.13,29,1677,413,873,400,3.12,194300,"<1H OCEAN",3
"5963",-117.84,34.12,34,2026,345,1142,332,4.392,187600,"INLAND",3
"5967",-117.81,34.11,21,3481,808,1866,746,3.6201,150400,"INLAND",3
"5971",-117.78,34.09,32,2643,516,1862,478,3.7177,177200,"INLAND",3
"5976",-117.77,34.1,50,2388,494,1241,459,2.8818,167200,"INLAND",2
"5980",-117.75,34.12,25,5411,998,2243,1019,4.3148,240700,"INLAND",3
"5981",-117.74,34.1,26,2723,604,1847,498,2.6779,136000,"INLAND",2
"5985",-117.73,34.12,26,6459,894,2487,885,6.2089,261800,"INLAND",5
"5986",-117.71,34.1,41,555,130,1492,123,2.2813,125000,"INLAND",2
"5989",-117.72,34.1,32,3241,895,1592,810,2.4952,181800,"INLAND",2
"5990",-117.72,34.1,46,2477,458,1034,455,5.5,289700,"INLAND",4
"6002",-117.75,34.09,36,3094,556,1672,545,4.2143,146900,"INLAND",3
"6007",-117.75,34.07,52,1548,348,1131,343,2.63,127300,"INLAND",2
"6017",-117.78,34.06,33,1056,272,964,300,2.4464,128700,"INLAND",2
"6023",-117.76,34.05,36,2910,819,3055,782,1.9029,98000,"INLAND",2
"6024",-117.75,34.05,35,1293,339,1494,312,1.6645,93300,"INLAND",2
"6028",-117.74,34.06,48,2438,599,1508,548,2.8983,129200,"INLAND",2
"6032",-117.72,34.08,34,2742,491,1761,496,3.2481,128800,"INLAND",3
"6036",-117.72,34.06,32,2209,654,1718,569,1.9643,113200,"INLAND",2
"6039",-117.73,34.07,33,1921,489,1430,467,2.3406,122600,"INLAND",2
"6040",-117.73,34.07,33,1025,261,854,269,2.2596,119400,"INLAND",2
"6041",-117.73,34.05,36,975,243,809,233,2.8929,118100,"INLAND",2
"6054",-117.76,34.04,36,2242,448,2052,447,3.4464,113000,"INLAND",3
"6055",-117.85,34,26,2712,402,1389,377,5.6513,227900,"<1H OCEAN",4
"6061",-117.81,34.01,12,9197,1642,4332,1554,4.9589,282100,"<1H OCEAN",4
"6066",-117.83,33.97,11,21533,3078,9671,2890,7.0329,368300,"<1H OCEAN",5
"6068",-117.86,34.02,19,6300,937,3671,943,5.9716,262100,"<1H OCEAN",4
"6081",-117.86,34.09,26,3408,542,1664,543,6.1498,239100,"<1H OCEAN",5
"6082",-117.87,34.1,25,2208,477,1084,424,3.775,191700,"<1H OCEAN",3
"6088",-117.88,34.09,29,3416,790,2223,728,3.5109,186000,"<1H OCEAN",3
"6090",-117.86,34.1,29,1185,197,588,196,5.0832,196900,"<1H OCEAN",4
"6092",-117.84,34.1,17,7836,1624,4419,1526,3.8465,180700,"<1H OCEAN",3
"6093",-117.85,34.11,27,1748,403,985,416,3.1133,180600,"INLAND",3
"6095",-117.88,34.12,33,1485,274,1006,258,5.1708,158500,"<1H OCEAN",4
"6098",-117.87,34.11,23,4066,819,2105,737,4.6556,199600,"<1H OCEAN",4
"6100",-117.88,34.11,30,3082,602,2008,619,4.1411,182700,"<1H OCEAN",3
"6106",-117.89,34.12,35,1566,321,1396,317,4.05,141300,"<1H OCEAN",3
"6107",-117.89,34.11,27,2434,535,1623,498,3.6875,140200,"<1H OCEAN",3
"6122",-117.91,34.12,33,1391,309,1038,298,4.1944,149500,"<1H OCEAN",3
"6127",-117.92,34.11,24,2838,695,2151,645,3.2202,126200,"<1H OCEAN",3
"6140",-117.96,34.07,32,2910,709,2583,670,3.7736,158400,"<1H OCEAN",3
"6142",-117.97,34.07,22,1438,364,1325,335,2.7802,162500,"<1H OCEAN",2
"6145",-117.98,34.09,31,3073,617,2640,594,3.5,161300,"INLAND",3
"6147",-117.95,34.11,29,1986,448,2013,432,3.1034,140800,"INLAND",3
"6149",-117.97,34.1,33,1558,316,1600,338,2.9712,143900,"INLAND",2
"6152",-117.96,34.09,6,1954,534,1584,496,3.1621,131000,"INLAND",3
"6153",-117.96,34.1,30,2775,657,2847,642,3.2266,141800,"INLAND",3
"6155",-117.95,34.09,21,2215,484,1792,419,2.8375,166500,"<1H OCEAN",2
"6160",-117.96,34.08,28,2831,552,2330,557,3.9741,173100,"<1H OCEAN",3
"6169",-117.93,34.09,35,1891,353,1093,382,4.0167,165500,"<1H OCEAN",3
"6175",-117.93,34.08,35,689,128,379,128,3.9583,206000,"<1H OCEAN",3
"6176",-117.93,34.08,36,1597,285,901,272,4.3947,197000,"<1H OCEAN",3
"6184",-117.91,34.09,20,4327,1037,2296,963,3.0441,185400,"<1H OCEAN",3
"6185",-117.92,34.09,35,1810,318,1164,332,5.0123,165700,"<1H OCEAN",4
"6203",-117.89,34.07,32,2374,450,1580,427,3.8837,200300,"<1H OCEAN",3
"6216",-117.91,34.07,33,2938,561,1519,549,4.5594,204200,"<1H OCEAN",4
"6217",-117.92,34.06,34,2819,609,1718,558,3.5547,197600,"<1H OCEAN",3
"6221",-117.91,34.05,35,3189,NA,1727,500,5.0758,211100,"<1H OCEAN",4
"6223",-117.93,34.06,37,1505,262,798,259,5.4635,202100,"<1H OCEAN",4
"6233",-117.94,34.07,25,1814,404,1187,363,3.3523,170800,"<1H OCEAN",3
"6235",-117.95,34.06,32,2252,415,1370,411,4.6312,184800,"<1H OCEAN",4
"6236",-117.96,34.07,35,2819,529,1508,485,4.6118,191700,"<1H OCEAN",4
"6237",-117.96,34.06,34,2226,381,1464,365,4.4102,183200,"<1H OCEAN",3
"6247",-117.97,34.05,36,931,160,746,201,3.1667,158000,"<1H OCEAN",3
"6249",-117.97,34.05,34,2050,495,1832,465,2.8333,155700,"<1H OCEAN",2
"6251",-117.98,34.04,34,2547,537,2108,498,3.4722,154600,"<1H OCEAN",3
"6259",-117.96,34.05,36,1475,270,1149,284,3.0904,158600,"<1H OCEAN",3
"6261",-117.95,34.04,36,1044,200,982,205,4.7679,153900,"<1H OCEAN",4
"6265",-117.96,34.05,32,1993,388,1385,380,3.7258,181900,"<1H OCEAN",3
"6270",-117.95,34.05,31,2349,539,2028,521,3.494,154500,"<1H OCEAN",3
"6285",-117.93,34.03,30,2246,446,1837,431,4.7917,164500,"<1H OCEAN",4
"6287",-117.93,34.04,30,1336,239,905,253,4.8854,178100,"<1H OCEAN",4
"6290",-117.91,34.04,15,8749,1761,5278,1691,4.6324,168800,"<1H OCEAN",4
"6293",-117.88,34,21,5459,1086,3394,1087,3.6308,192100,"<1H OCEAN",3
"6299",-117.91,34.02,22,6269,NA,5587,1251,3.8201,136200,"<1H OCEAN",3
"6303",-117.98,34.03,21,797,162,484,166,2.625,191100,"<1H OCEAN",2
"6308",-117.87,33.99,21,2837,515,2031,555,4.9271,209700,"<1H OCEAN",4
"6320",-117.97,34,28,1983,375,1407,367,3.8319,179000,"<1H OCEAN",3
"6324",-117.98,33.98,27,2275,346,1039,333,6.2217,333500,"<1H OCEAN",5
"6326",-117.95,34,34,2376,468,1858,449,4.1328,176300,"<1H OCEAN",3
"6327",-117.96,34,33,5462,952,3527,914,4.4038,186700,"<1H OCEAN",3
"6332",-117.95,33.99,15,3978,692,2418,665,5.0142,269900,"<1H OCEAN",4
"6342",-117.9,33.97,23,7353,1255,4014,1124,5.4155,213200,"<1H OCEAN",4
"6344",-117.75,34.06,52,62,9,44,16,0.4999,112500,"INLAND",1
"6345",-117.74,34.06,4,1391,506,727,369,1.4722,137500,"INLAND",1
"6348",-117.75,34.06,44,477,135,502,117,2.0156,112500,"INLAND",2
"6353",-117.95,34.14,13,3859,710,2283,759,4.5594,184500,"INLAND",4
"6356",-117.96,34.14,33,1994,405,993,403,3.766,163900,"INLAND",3
"6358",-117.97,34.14,15,3595,964,1839,877,2.6014,150300,"INLAND",2
"6360",-117.97,34.13,42,683,127,541,138,3.4375,151700,"INLAND",3
"6361",-117.98,34.14,24,1596,388,1329,352,3.0417,148000,"INLAND",3
"6379",-118.06,34.17,38,2726,398,1059,380,7.2419,410400,"INLAND",5
"6383",-118.04,34.16,38,1594,249,633,247,5.9582,350700,"INLAND",4
"6384",-118.05,34.16,36,3908,732,1688,725,4.5625,376800,"INLAND",4
"6385",-118.05,34.16,41,3320,713,1236,659,3.5694,278600,"INLAND",3
"6393",-118.05,34.14,39,2125,295,862,303,8.9728,500001,"INLAND",5
"6394",-118.06,34.13,40,4307,918,1769,845,3.6341,391500,"INLAND",3
"6397",-118.03,34.14,44,1446,250,721,243,4.7308,352200,"INLAND",4
"6403",-118.02,34.14,34,1077,257,478,199,2.6316,252800,"INLAND",2
"6417",-118.02,34.14,31,6854,1578,4131,1524,3.5878,222800,"INLAND",3
"6420",-118.01,34.15,32,6597,1579,3689,1459,3.2377,184100,"INLAND",3
"6421",-117.98,34.14,27,6341,1289,2899,1192,3.6336,235200,"INLAND",3
"6422",-117.99,34.14,30,2346,NA,1988,474,2.5625,153000,"INLAND",2
"6423",-118,34.13,24,2584,520,1869,503,3.2841,167000,"INLAND",3
"6425",-118,34.14,39,1302,303,800,291,3.2723,166900,"INLAND",3
"6435",-118.01,34.11,32,1978,536,826,470,2.5114,212200,"INLAND",2
"6438",-118.02,34.1,36,1928,361,1008,368,4.733,233700,"INLAND",4
"6456",-118.06,34.12,35,2053,369,1044,375,4.1875,275400,"INLAND",3
"6457",-118.05,34.11,48,1410,304,677,274,3.2596,272400,"INLAND",3
"6459",-118.06,34.11,39,2603,547,1196,487,3.0854,248700,"INLAND",3
"6466",-118.04,34.1,38,2317,451,1155,426,4.1488,235300,"INLAND",3
"6470",-118.06,34.09,38,2036,388,1096,371,4.0625,262500,"<1H OCEAN",3
"6478",-118.08,34.09,32,3214,718,2316,751,3.7066,206800,"<1H OCEAN",3
